"","data_source","signal","geo_value","time_value","issue","lag","value","stderr","sample_size"
"78","fb-survey","smoothed_cli","mt",2020-05-02,2020-09-03,124,0.5103266,0.1303354,2639.4882
"79","fb-survey","smoothed_cli","nc",2020-05-02,2020-09-03,124,0.4337375,0.0397443,20351.0273
"80","fb-survey","smoothed_cli","nd",2020-05-02,2020-09-03,124,0.4992893,0.1588538,1631.4003
"81","fb-survey","smoothed_cli","ne",2020-05-02,2020-09-03,124,0.3833046,0.0790234,4178.4764
"82","fb-survey","smoothed_cli","nh",2020-05-02,2020-09-03,124,0.5505542,0.0998773,3872
"83","fb-survey","smoothed_cli","nj",2020-05-02,2020-09-03,124,0.6276369,0.059144,13115.9965
"84","fb-survey","smoothed_cli","nm",2020-05-02,2020-09-03,124,0.4677676,0.1048262,3184.8074
"85","fb-survey","smoothed_cli","nv",2020-05-02,2020-09-03,124,0.4779534,0.0954873,3790.3862
"86","fb-survey","smoothed_cli","ny",2020-05-02,2020-09-03,124,0.5700424,0.0357035,33200.0005
"87","fb-survey","smoothed_cli","oh",2020-05-02,2020-09-03,124,0.4995685,0.0383171,25039.0036
"88","fb-survey","smoothed_cli","ok",2020-05-02,2020-09-03,124,0.539062,0.0756868,6968.2214
"89","fb-survey","smoothed_cli","or",2020-05-02,2020-09-03,124,0.4696358,0.0682945,7356.3402
"90","fb-survey","smoothed_cli","pa",2020-05-02,2020-09-03,124,0.3947739,0.0307095,31344.0168
"91","fb-survey","smoothed_cli","ri",2020-05-02,2020-09-03,124,0.3967932,0.1095272,2350.959
"92","fb-survey","smoothed_cli","sc",2020-05-02,2020-09-03,124,0.440265,0.0526221,11164.0078
"93","fb-survey","smoothed_cli","sd",2020-05-02,2020-09-03,124,0.730414,0.1808081,1869.1987
"94","fb-survey","smoothed_cli","tn",2020-05-02,2020-09-03,124,0.5678868,0.0635143,10511.1114
"95","fb-survey","smoothed_cli","tx",2020-05-02,2020-09-03,124,0.4225542,0.0276758,40138.8461
"96","fb-survey","smoothed_cli","ut",2020-05-02,2020-09-03,124,0.5115329,0.0842466,5187.9835
"97","fb-survey","smoothed_cli","va",2020-05-02,2020-09-03,124,0.4195554,0.0403595,16793.3438
"98","fb-survey","smoothed_cli","vt",2020-05-02,2020-09-03,124,0.4417908,0.1498013,1675.0008
"99","fb-survey","smoothed_cli","wa",2020-05-02,2020-09-03,124,0.466241,0.0533922,12502.8088
"100","fb-survey","smoothed_cli","wi",2020-05-02,2020-09-03,124,0.3533621,0.0480498,10703.9574
"101","fb-survey","smoothed_cli","wv",2020-05-02,2020-09-03,124,0.4595497,0.08527,5008.8406
"102","fb-survey","smoothed_cli","wy",2020-05-02,2020-09-03,124,0.5843162,0.1984488,1370.6695
"103","fb-survey","smoothed_cli","ak",2020-05-03,2020-09-03,123,0.4577061,0.1590667,1550
"104","fb-survey","smoothed_cli","al",2020-05-03,2020-09-03,123,0.6292451,0.0795022,7309.2284
"105","fb-survey","smoothed_cli","ar",2020-05-03,2020-09-03,123,0.7082283,0.1012232,4780.461
"106","fb-survey","smoothed_cli","az",2020-05-03,2020-09-03,123,0.4461552,0.0553251,10880.0649
"107","fb-survey","smoothed_cli","ca",2020-05-03,2020-09-03,123,0.333961,0.0222527,50190.624
"108","fb-survey","smoothed_cli","co",2020-05-03,2020-09-03,123,0.6181081,0.0663491,9837.1214
"109","fb-survey","smoothed_cli","ct",2020-05-03,2020-09-03,123,0.4884961,0.0633877,8433
"110","fb-survey","smoothed_cli","dc",2020-05-03,2020-09-03,123,0.4797441,0.2576996,670
"111","fb-survey","smoothed_cli","de",2020-05-03,2020-09-03,123,0.5704566,0.13008,2581.0073
"112","fb-survey","smoothed_cli","fl",2020-05-03,2020-09-03,123,0.4322371,0.0297146,36722.0011
"113","fb-survey","smoothed_cli","ga",2020-05-03,2020-09-03,123,0.5024656,0.050127,14178.8239
"114","fb-survey","smoothed_cli","hi",2020-05-03,2020-09-03,123,0.4409639,0.1212045,1977
"115","fb-survey","smoothed_cli","ia",2020-05-03,2020-09-03,123,0.4910844,0.065055,7888.8527
"116","fb-survey","smoothed_cli","id",2020-05-03,2020-09-03,123,0.4661895,0.0965012,3831.2441
"117","fb-survey","smoothed_cli","il",2020-05-03,2020-09-03,123,0.4928076,0.0376478,25548.0228
"118","fb-survey","smoothed_cli","in",2020-05-03,2020-09-03,123,0.5754001,0.0582342,11416.004
"119","fb-survey","smoothed_cli","ks",2020-05-03,2020-09-03,123,0.4900947,0.0746809,5547.9446
"120","fb-survey","smoothed_cli","ky",2020-05-03,2020-09-03,123,0.4473275,0.0641967,7161.2568
"121","fb-survey","smoothed_cli","la",2020-05-03,2020-09-03,123,0.5011088,0.0629051,8711.5498
"122","fb-survey","smoothed_cli","ma",2020-05-03,2020-09-03,123,0.4072357,0.0577703,9173.04
"123","fb-survey","smoothed_cli","md",2020-05-03,2020-09-03,123,0.4997644,0.0752232,6513.9893
"124","fb-survey","smoothed_cli","me",2020-05-03,2020-09-03,123,0.3751549,0.0876349,3959
"125","fb-survey","smoothed_cli","mi",2020-05-03,2020-09-03,123,0.4220344,0.0329186,28276.037
